"id","id_annee","id_etudiant","matricule","id_niveau"
2000,2,2000,"12ISST23-1256FGCI/GInfo",1
2001,2,2001,"11ISST22-1173FGCI/GInfo",1
2002,2,2002,"12ISST23-1319FGCI/Ginfo",1
2003,2,2003,"12ISST23-1512FGCI/Ginfo",1
2004,2,2004,"12ISST23-1366FGCI/Ginfo",1
2005,2,2005,"12ISST23-1388FGCI/Ginfo",1
2006,2,2006,"12ISST23-1349FGCI/Ginfo",1
2007,2,2007,"11ISST22-1207FGCI/Ginfo",1
2008,2,2008,"12ISST23-1477FGCI/Ginfo",1
2009,2,2009,"12ISST23-1448FGCI/Ginfo",1
2010,2,2010,"11ISST22-1119FGCI/Ginfo",1
2011,2,2011,"12ISST23-1437FGCI/Ginfo",1
2012,2,2012,"12ISST23-1452FGCI/Ginfo",1
2013,2,2013,"12ISST23-1416FGCI/Ginfo",1
2014,2,2014,"12ISST23-1309FGCI/Ginfo",1
2015,2,2015,"12ISST23-1435FGCI/GInfo",1
2016,2,2016,"12ISST23-1417FGCI/Ginfo",1
2017,2,2017,"12ISST23-1443FCGI/GInfo",1
2018,2,2018,"12ISST23-1275FGCI/Ginfo",1
2019,2,2019,"12ISST23-1301FGCI/Ginfo",1
2020,2,2020,"12ISST23-1414FGCI/Ginfo",1
2021,2,2021,"12ISST23-1348FGCI/Ginfo",1
2022,2,2022,"12ISST23-1424FGCI/Ginfo",1
2023,2,2023,"12ISST23-1295FGCI/Ginfo",1
2024,2,2024,"12ISST23-1294FGCI/Ginfo",1
2025,2,2025,"12ISST23-1289FGCI/Ginfo",1
2026,2,2026,"12ISST23-1430FGCI/Ginfo",1
2027,2,2027,"12ISST23-1398FGCI/Ginfo",1
2028,2,2028,"12ISST23-1418FGCI/Ginfo",1
2029,2,2029,"12ISST23-1332FGCI/Ginfo",1
2030,2,2030,"12ISST23-1391FGCI/Ginfo",1
2031,2,2031,"12ISST23-1496FGCI/Ginfo",1
2032,2,2032,"12ISST23-1368FGCI/Ginfo",1
2033,2,2033,"12ISST23-1315FGCI/Ginfo",1
2034,2,2034,"12ISST23-1466FGCI/Ginfo",1
2035,2,2035,"12ISST23-1370FGCI/Ginfo",1
2036,2,2036,"11ISST22-1192FGCI/Ginfo",1
2037,2,2037,"12ISST23-1465FGCI/Ginfo",1
2038,2,2038,"12ISST23-1400FGCI/Ginfo",1
2039,2,2039,"12ISST23-1345FGCI/Ginfo",1
2040,2,2040,"12ISST23-1519FGCI/Ginfo",1
2041,2,2041,"12ISST23-1270FGCI/Ginfo",1
2042,2,2042,"12ISST23-1282FGCI/Ginfo",1
2043,2,2043,"12ISST23-1379FGCI/Ginfo",1
2044,2,2044,"11ISST22-1087FGCI/Ginfo",1
2045,2,2045,"12ISST23-1262FGCI/Ginfo",1
2046,2,2046,"12ISST23-1481FGCI/Ginfo",1
2047,2,2047,"12ISST23-1425FGCI/Ginfo",1
2048,2,2048,"12ISST23-1341FGCI/Ginfo",1
2049,2,2049,"12ISST23-1350FGCI/Ginfo",1
2050,2,2050,"12ISST23-1286FGCI/Ginfo",1
2051,2,2051,"12ISST23-1387FGCI/Ginfo",1
2052,2,2052,"12ISST23-1506FGCI/Ginfo",1
2053,2,2053,"12ISST23-1411FGCI/Ginfo",1
2054,2,2054,"12ISST23-1340FGCI/Ginfo",1
2055,2,2055,"12ISST23-1311FGCI/Ginfo",1
2056,2,2056,"12ISST23-1508FGCI/GInfo",1
2057,2,2057,"12ISST23-1335FGCI/Ginfo",1
2058,2,2058,"12ISST23-1327FGCI/Ginfo",1
2059,2,2059,"12ISST23-1458FGCI/Ginfo",1
2060,2,2060,"12ISST23-1331FGCIGInfo",1
2061,2,2061,"12ISST23-1473FGCI/Ginfo",1
2062,2,2062,"12ISST23-1480FGCI/Ginfo",1
2063,2,2063,"12ISST23-1287FGCI/Ginfo",1
2064,2,2064,"12ISST23-1381FGCI/Ginfo",1
2065,2,2065,"12ISST23-1312FGCI/Ginfo",1
2066,2,2066,"12ISST23-1329FGCI/Ginfo",1
2067,2,2067,"12ISST23-1449FGCI/Ginfo",1
2068,2,2068,"12ISST23-1274FGCI/Ginfo",1
2069,2,2069,"12ISST23-1378FGCI/Ginfo",1
2070,2,2070,"12ISST23-1375FGCI/Ginfo",1
2071,2,2071,"12ISST23-1320FGCI/Ginfo",1
2072,2,2072,"12ISST23-1422FGCI/Ginfo",1
2073,2,2073,"12ISST23-1446FGCIGInfo",1
2074,2,2074,"12ISST23-1371FGCI/Ginfo",1
2075,2,2075,"12ISST23-1504FGCI/Ginfo",1
2076,2,2076,"11ISST22-1047FGCI/Ginfo",1
2077,2,2077,"12ISST23-1459FGCI/Ginfo",1
2078,2,2078,"12ISST23-1290FGCI/Ginfo",1
2079,2,2079,"12ISST23-1303FGCI/Ginfo",1
2080,2,2080,"12ISST23-1478FGCI/Ginfo",1
2081,2,2081,"12ISST23-1256FGCI/Ginfo",1
2082,2,2082,"12ISST23-1503FGCI/Ginfo",1
2083,2,2083,"12ISST23-1499FGCI/Ginfo",1
2084,2,2084,"12ISST23-1494FGCI/Ginfo",1
2085,2,2085,"11ISST22-1050FGCI/Ginfo",1
2086,2,2086,"11ISST22-1129FGCI/Ginfo",1
